Ambystan Snapper:
35.0 56.0
35.4 44.2
35.6 44.2
39.2 33.8
39.2 71.4
45.4 65.0
45.6 65.0
48.0 73.8

Aurelid Floater:
35.6 71.8
52.4 75.0
57.4 82.4
57.6 82.4
57.6 82.6
64.4 68.8

Bloodsucker Vespoid:
42.0 34.0
43.8 32.8
46.8 13.6
47.0 13.4
47.4 29.4
47.4 29.6
47.6 28.6
48.8 27.8
50.2 42.4
50.2 48.4
50.4 6.4
50.4 6.6
50.8 29.2
51.8 27.4
52.4 46.0
52.6 25.4
52.6 25.6
52.6 46.0
53.0 27.0
53.8 46.6
56.4 48.8
59.0 48.8
59.4 49.8
59.6 49.8
61.2 54.4
61.2 54.6
61.4 51.6
61.6 51.6
61.6 54.0
61.8 53.0
61.8 60.4
61.8 60.6
62.0 57.8
62.2 55.4
62.2 59.4
62.4 56.2
63.2 61.2
63.4 57.4
64.2 57.4
64.2 57.6

Bufonid Croaker:
32.6 61.0
33.4 60.0
33.6 60.0
33.6 61.2
34.4 70.8
34.6 71.2
34.8 69.4
34.8 69.6
36.2 70.8
36.4 70.0
36.6 70.4
36.6 70.6
43.8 60.8
44.0 87.8
44.8 58.4
45.0 58.8
45.2 62.8
47.4 85.4
47.4 85.8
47.4 88.4
47.4 88.6
47.6 91.8
48.2 60.4
48.2 60.8
48.4 74.2
48.6 74.2
49.2 75.4
49.4 59.0
49.6 59.0
50.0 62.6
50.2 72.2
50.2 73.4
50.4 74.4
50.4 74.6
50.6 74.6
50.8 89.4
50.8 89.6
51.2 60.0
51.2 74.4
52.6 90.8
57.8 84.0
58.0 82.2
60.2 72.0
60.2 74.8
63.6 70.8
75.4 52.6
75.4 54.4
75.4 54.6
75.6 47.4
76.2 45.0
76.8 45.4
77.2 44.2
77.2 58.8
77.2 60.2
77.6 52.4
77.8 54.2
79.0 45.2
80.4 45.2

Emerald Scarabid:
39.6 25.2
41.6 23.6
42.4 31.0
43.4 29.6
43.6 29.4
43.8 21.4
43.8 21.6
46.2 23.4
46.2 23.6
48.4 28.4
48.4 28.8
48.8 26.8
49.4 46.4
49.6 46.4
49.6 46.6
50.4 44.6
50.6 44.6
51.0 48.6
53.0 47.6
56.6 50.6
56.8 50.4
57.0 25.6
57.2 25.4
58.0 30.0
59.2 52.2
59.2 52.6
59.4 36.0
59.6 35.8
61.0 34.2
61.0 34.6
62.2 36.2
62.6 30.2
63.0 22.8
63.8 41.6
65.4 29.0
65.4 37.4
65.4 37.6
65.6 29.0
65.6 37.4
65.6 37.6
66.0 45.2
66.8 26.8
69.4 34.0
69.6 33.8
75.2 47.0
75.2 60.8
75.6 59.0
78.4 46.8
78.6 46.4
78.6 46.8
80.2 48.6
80.4 48.4

Enraged Poultrid:
29.0 56.0
29.4 51.8
30.2 49.4
30.2 49.6
30.4 56.8
30.6 57.2
30.8 50.0
31.0 55.6
31.2 55.4
32.4 52.0
32.6 52.2
33.0 63.4
33.0 63.8
34.8 62.4
34.8 62.6
34.8 68.0
35.0 66.2
35.4 47.0
35.4 65.0
35.6 64.8
36.0 43.4
36.0 43.6
36.0 65.8
36.2 48.6
36.4 46.4
36.4 46.6
36.4 48.2
36.6 48.2
39.6 49.2
39.8 46.8
39.8 49.6
39.8 55.4
39.8 55.6
40.2 46.0
44.2 84.0
44.8 92.4
44.8 92.6
48.2 81.2
48.4 95.8
48.6 81.4
48.6 95.4
48.6 95.8
52.4 87.4
52.4 87.6
52.6 87.2
53.0 93.2
53.4 84.4
53.4 84.6
53.6 84.4
53.6 84.6
54.8 81.0

Green Viperid:
35.4 55.0
35.6 55.2
36.0 61.2
36.4 65.0
36.6 58.2
36.6 64.8
37.4 68.2
37.6 68.4
38.4 55.8
38.6 56.2
39.4 47.2
39.6 47.0
39.8 63.2
39.8 63.6
40.8 65.8
42.4 66.8
42.6 66.8
44.4 91.4
44.4 91.6
45.4 88.2
45.6 88.0
46.4 81.6
49.0 81.4
49.0 81.6
50.8 84.0
52.8 83.8
55.0 68.4
55.0 68.6
55.2 82.8
55.4 76.0
56.4 81.2
56.6 81.4
56.6 81.6
58.0 68.2
58.0 68.6
58.2 48.0
58.4 77.2
58.4 82.2
58.4 82.8
58.4 84.2
58.4 84.6
58.6 77.2
58.6 82.0
58.6 84.2
60.0 43.8
60.0 45.4
60.0 45.8
60.2 43.4
60.2 68.8
60.6 69.0
60.8 64.2
61.8 47.0
61.8 49.6
62.0 49.4
62.2 68.4
62.4 70.6
62.6 68.2
62.8 64.4
75.0 47.4
75.4 45.4
75.4 49.0
75.6 45.4
75.8 49.0
76.0 44.4
77.0 48.0
77.4 49.4
77.6 49.4
77.6 49.6
78.4 59.8
78.8 47.2
78.8 59.8
80.4 48.2
80.6 48.2

King Viperid:
35.4 55.0
35.6 55.0
36.0 60.8
36.4 64.8
36.6 58.2
36.6 65.0
37.4 68.4
37.4 68.6
37.6 68.4
37.6 68.6
38.4 56.0
38.6 55.8
39.4 46.8
39.6 46.8
39.8 63.4
39.8 63.6
41.0 65.8
42.4 67.0
42.6 66.8
45.2 7.4
45.2 7.6
45.4 88.0
45.6 88.2
46.4 81.4
46.4 82.4
46.4 82.8
46.6 81.4
46.6 82.4
46.6 82.6
47.0 10.2
47.0 25.4
47.2 10.6
47.2 25.6
47.6 25.6
47.8 2.2
48.0 6.0
48.2 50.0
48.4 28.4
48.4 28.8
48.6 28.6
48.8 81.4
49.0 47.6
